cp_id,reserve,amount,payment_date,payment_key,category,key_target_info
2928,003314,100.0,2025-07-24,0002842,KEY_SINGLE_OTHER,003261
4946,006341,906.0,2025-07-24,0007642,KEY_SINGLE_OTHER,004997
5259,005322,500.0,2025-07-24,0004833,KEY_SINGLE_OTHER,005113
5262,006311,250.0,2025-07-24,0007665,KEY_SINGLE_OTHER,005217
5348,005234,173.25,2025-07-24,0004914,KEY_SINGLE_OTHER,005274
5404,005188,300.0,2025-07-24,0004916,KEY_SINGLE_OTHER,004819
5408,005362,500.0,2025-07-24,0004981,KEY_SINGLE_OTHER,005332
5443,005384,500.0,2025-07-24,0005009,KEY_SINGLE_OTHER,005351
5508,005396,175.0,2025-07-24,0005079,KEY_SINGLE_OTHER,005417
5535,005407,205.0,2025-07-24,0005085,KEY_SINGLE_OTHER,005420
5554,005409,500.0,2025-07-24,0005087,KEY_SINGLE_OTHER,005423
5568,005473,205.0,2025-07-24,0005159,KEY_SINGLE_OTHER,005470
5614,005516,1287.0,2025-07-24,0005208,KEY_MULTI_EXCLUDES_SAME,005505|005506
5618,005446,205.0,2025-07-24,0005135,KEY_SINGLE_OTHER,005462
5647,005264,68.25,2025-07-24,0005247,KEY_SINGLE_OTHER,005507
5656,008040,157.3,2025-07-24,0008264,KEY_MULTI_EXCLUDES_SAME,005549|005559|005606|005607|007916|007917
5664,008040,143.0,2025-07-24,0008264,KEY_MULTI_EXCLUDES_SAME,005549|005559|005606|005607|007916|007917
5700,005272,500.0,2025-07-24,0005114,KEY_SINGLE_OTHER,005443
5795,005265,68.25,2025-07-24,0005246,KEY_SINGLE_OTHER,005587
5810,005322,1040.0,2025-07-24,0005485,KEY_SINGLE_OTHER,005651
5827,005715,175.0,2025-07-24,0005401,KEY_SINGLE_OTHER,005669
5863,005675,205.0,2025-07-24,0005376,KEY_SINGLE_OTHER,005686
7972,007504,65.0,2025-07-24,0007613,KEY_MULTI_EXCLUDES_SAME,007351|007392|007406|007407|007408|007409|007410|007411|007412|007413|007414|007415
10459,009733,175.0,2025-07-24,0010036,KEY_MULTI_EXCLUDES_SAME,009648|009651|009652|009657|009694|009696|009706
10571,009733,175.0,2025-07-24,0010053,KEY_MULTI_EXCLUDES_SAME,009726|009727|009728
12356,015275,262.5,2025-07-24,0017187,KEY_MULTI_EXCLUDES_SAME,011353|011356|011357|011358|011360|011364|011374|011375
12557,011121,100.0,2025-07-24,0011778,KEY_MULTI_EXCLUDES_SAME,011471|011472
13549,012140,75.0,2025-07-24,0012814,KEY_MULTI_EXCLUDES_SAME,012292|012293|012294|012295|012296|012297|012298|012299|012338
13561,012144,75.0,2025-07-24,0012814,KEY_MULTI_EXCLUDES_SAME,012292|012293|012294|012295|012296|012297|012298|012299|012338
13593,012267,127.2,2025-07-24,0012814,KEY_MULTI_EXCLUDES_SAME,012292|012293|012294|012295|012296|012297|012298|012299|012338
13826,012228,250.0,2025-07-24,0012982,KEY_MULTI_EXCLUDES_SAME,012525|012526
15513,013354,75.2,2025-07-24,0014580,KEY_MULTI_EXCLUDES_SAME,013636|013637|013638|013639|013650|013651|013652|013653
16207,013690,1240.0,2025-07-24,0015236,KEY_MULTI_EXCLUDES_SAME,014131|014132
16256,013881,200.0,2025-07-24,0015205,KEY_MULTI_EXCLUDES_SAME,014101|014103
16424,013881,200.0,2025-07-24,0015211,KEY_MULTI_EXCLUDES_SAME,014100|014102
16513,013369,360.0,2025-07-24,0015532,KEY_MULTI_EXCLUDES_SAME,013573|014289
17175,014469,162.0,2025-07-24,0016151,KEY_MULTI_EXCLUDES_SAME,014807|014808
17181,014468,162.0,2025-07-24,0016151,KEY_MULTI_EXCLUDES_SAME,014807|014808
17557,014466,220.0,2025-07-24,0016498,KEY_MULTI_EXCLUDES_SAME,015072|015073
19314,016042,234.0,2025-07-24,0018163,KEY_MULTI_EXCLUDES_SAME,016404|016405
19686,016312,180.0,2025-07-24,0018569,KEY_MULTI_EXCLUDES_SAME,016703|016731
20102,016107,250.0,2025-07-24,0018276,KEY_NOT_IN_LMS,
20923,017108,200.0,2025-07-24,0019582,KEY_MULTI_EXCLUDES_SAME,017444|017445
21205,017400,300.0,2025-07-24,0019929,KEY_MULTI_EXCLUDES_SAME,017695|017696|017697|017698
21617,017657,210.0,2025-07-24,0020270,KEY_MULTI_EXCLUDES_SAME,017746|017747
21835,017140,0.0,2025-07-24,0020381,KEY_MULTI_EXCLUDES_SAME,017957|017958
22244,017108,200.0,2025-07-24,0019603,KEY_MULTI_EXCLUDES_SAME,017466|017467
22412,017943,830.25,2025-07-24,0020851,KEY_MULTI_EXCLUDES_SAME,018331|018332|018333|018334|018335|018336|018337|018338|018339|018340|018341|018342
22871,018257,500.0,2025-07-24,0021290,KEY_MULTI_EXCLUDES_SAME,018596|018597|018754
24112,019538,369.0,2025-07-24,0022353,KEY_NOT_IN_LMS,
