cp_id,reserve,amount,old_key,new_key,old_date,new_date,reason
2928,003314,100.00,0002842,0002897,2025-07-24,2010-02-16,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
5647,005264,68.25,0005247,0004909,2025-07-24,2011-09-06,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
5795,005265,68.25,0005246,0004908,2025-07-24,2011-09-06,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
5700,005272,500.00,0005114,0005097,2025-07-24,2011-10-24,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
5443,005384,500.00,0005009,0005048,2025-07-24,2011-10-14,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
5535,005407,205.00,0005085,0005068,2025-07-24,2011-10-20,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
5554,005409,500.00,0005087,0005070,2025-07-24,2011-10-20,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
5618,005446,205.00,0005135,0005118,2025-07-24,2011-10-27,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
5568,005473,205.00,0005159,0005142,2025-07-24,2011-11-05,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
5614,005516,1287.00,0005208,0005189,2025-07-24,2011-11-17,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
5863,005675,205.00,0005376,0005350,2025-07-24,2011-12-27,UNIQUE_SAME_RESERVE_AMOUNT_MATCH
