year,total_groups,groups_with_usable_date_amount,matched_L1,matched_L2,matched_L3,matched_total,unmatched_groups,ADD,REVIEW_MAPPING
2011,2,2,0,2,0,2,0,0,0
2012,2817,2809,106,1620,1083,2809,8,0,8
2013,2687,2674,253,1509,912,2674,13,0,13
2014,2988,2984,164,1977,843,2984,4,0,4
2015,2581,2578,73,1807,698,2578,3,0,3
2016,1742,1718,7,1041,670,1718,24,0,24
2017,1833,1812,17,991,804,1812,21,0,21
2018,20,20,0,20,0,20,0,0,0
2019,61,61,0,61,0,61,0,0,0
2020,226,226,0,226,0,226,0,0,0
2021,396,396,0,396,0,396,0,0,0
2024,1,1,0,0,1,1,0,0,0
2025,592,592,1,502,89,592,0,0,0
